date,order_id,region,channel,category,product,units,unit_price,revenue,refunded
2025-07-06,ORD-100001,Midwest,Online,Fitness,Foam Roller,2,21.92,42.96,False
2025-07-06,ORD-100002,Midwest,Wholesale,Electronics,USB-C Hub,1,38.32,37.55,False
2025-07-06,ORD-100003,Midwest,Wholesale,Home,Air Purifier Filter,4,20.27,79.46,False
2025-07-06,ORD-100004,Midwest,Online,Electronics,Bluetooth Speaker,3,39.85,117.16,False
2025-07-06,ORD-100005,Northeast,Online,Outdoor,Hiking Poles,1,27.93,27.93,False
2025-07-06,ORD-100006,Northeast,Online,Electronics,Webcam,1,60.08,60.08,False
2025-07-06,ORD-100007,Northeast,Wholesale,Fashion,Socks Pack,5,27.17,135.85,False
2025-07-06,ORD-100008,South,In-Store,Outdoor,Camping Lantern,1,28.25,28.82,False
2025-07-06,ORD-100009,Northeast,Online,Fitness,Protein Shaker,2,29.21,58.42,False
2025-07-06,ORD-100010,Midwest,Wholesale,Home,Air Purifier Filter,2,19.58,38.38,False
2025-07-06,ORD-100011,South,Wholesale,Fitness,Resistance Bands,2,31.3,63.85,False
2025-07-06,ORD-100012,West,In-Store,Outdoor,Camping Lantern,5,35.9,186.68,False
2025-07-06,ORD-100013,West,In-Store,Electronics,Wireless Charger,3,39.46,123.12,False
2025-07-06,ORD-100014,Northeast,Wholesale,Fashion,Cap,5,30.59,152.95,False
2025-07-06,ORD-100015,South,Wholesale,Electronics,USB-C Hub,1,57.31,58.46,False
2025-07-06,ORD-100016,South,Wholesale,Electronics,Webcam,1,45.52,46.43,False
2025-07-06,ORD-100017,West,Wholesale,Fitness,Jump Rope,1,29.35,30.52,False
2025-07-06,ORD-100018,Northeast,Wholesale,Fitness,Resistance Bands,3,25.98,77.94,False
2025-07-06,ORD-100019,Northeast,Wholesale,Home,Air Purifier Filter,1,28.13,28.13,False
2025-07-06,ORD-100020,South,Online,Fitness,Foam Roller,5,33.11,168.86,False
2025-07-06,ORD-100021,Midwest,Wholesale,Fitness,Yoga Mat,1,21.54,21.11,False
2025-07-06,ORD-100022,Northeast,Online,Outdoor,Camping Lantern,5,36.98,184.9,False
2025-07-06,ORD-100023,West,Online,Fashion,Hoodie,2,34.89,72.57,False
2025-07-06,ORD-100024,South,In-Store,Fashion,Windbreaker,4,39.91,162.83,False
2025-07-06,ORD-100025,South,Wholesale,Fitness,Yoga Mat,3,26.02,79.62,False
2025-07-06,ORD-100026,Midwest,Online,Home,LED Bulbs,3,17.85,52.48,False
2025-07-06,ORD-100027,South,Online,Outdoor,Trail Backpack,2,23.44,47.82,False
2025-07-06,ORD-100028,Northeast,Online,Fashion,Hoodie,3,35.04,105.12,False
2025-07-06,ORD-100029,South,Wholesale,Fashion,Windbreaker,4,28.01,114.28,False
2025-07-06,ORD-100030,West,Online,Outdoor,Trail Backpack,4,27.86,115.9,False
